Symbol	Room	Bldg	Organization or Title	Phone	In Charge
RD	2600	Archives II	    Access Coordinator - Washington, DC	 	Vacant
RD-A	2600	Archives II	        Administrative Staff	301-837-2929	James S Rush
RD-F	2607	Archives II	        Special Access/FOIA Staff	301-837-3270	Martha W Murphy
RD-I	2600	Archives II	        Electronic Records Accessioning Support Staff	301-837-0976	Robert K Spangler
RD-O	 	Archives II	        Research Room Operations Archives II	301-837-0475	Michael F Knight
RD-OS	 	Archives II	        Special Media Research Rooms/Researcher Registration	301-837-0923	Latoya C Chavis
RD-OP	1000	Archives II	        Textual Pulls & Refiles	301-837-2043	Lisha B Penn
RD-OT	2385	Archives II	        Textual Research Room	202-357-5464	Terrell X Fenwick
RDT	2600	Archives II	        Textual Records Division	301-837-1895	Erin E Townsend
RDT1	405	Archives I	            Textual Reference Archives I Branch	202-357-5287	Trevor K Plante
RDT1R	405	Archives I	            Archives I Reference Section	202-357-5182	Juliette J Arai
RDT1F	606	Archives I	            Archives I Forms Reference Section	202-357-5098	Octavia D Ranger
RDT1O	G-13	Archives I	            Archives I Research Rooms Section	202-357-5266	Dennis M Edelin
RDT2	2400	Archives II	            Textual Reference Archives II Branch	301-837-0757	Richard W Peuser
RDTP	2600	Archives II	            Textual Processing Branch	301-837-3008	Vernon R Smith
RDTPA	2600	Archives II	                Accessioning Section	301-837-3084	Timothy M Enas
RDTP2	2600	Archives II	                Archives II Processing Section	301-837-3087	Ashley M Bucciferro
RDTP1	405	Archives I	                Archives I Processing Section	202-357-5330	Sarah A Herman
RDTPS	2600	Archives II	                Ancestry Projects - Silver Spring	801-705-7181	Vacant
RDE	5320	Archives II	        Electronic Records Division	301-837-1824	Theodore J Hull
RDEP	 	Archives II	            Processing Branch	301-837-0602	Charlotte L Sturm
RDER	 	Archives II	            Reference Branch	301-837-0468	Lynn A Goodsell
RDEX	 	Archives II	            Digital Preservation Services Staff	301-837-2989	Gary J Sinkfield
RDS	 	Archives II	        Special Media Records Division	301-837-1911	Deborah A Lelansky
RDS-F	 	Archives II	                Motion Picture Lab	301-837-0496	Christina M Kovac
RDS-A	 	Archives II	                Audio/Video Lab	301-837-1922	Jason A Love
RDSC	3320	Archives II	            Cartographic Branch	301-837-2036	Peter F Brauer
RDSM	3360	Archives II	            Motion Picture Branch	301-837-1995	Daniel X Rooney
RDSS	5360	Archives II	            Still Pictures Branch	301-837-3192	Meghan Ryan Guthorn
RE	2614	Archives II	    Access Coordinator - East	301-837-3089	Michael T Moore
RE-AT	138	Morrow	        Archival Operations - Atlanta	770-968-2485	Rob G Richards
RE-BO	 	Waltham	        Archival Operations - Boston	781-663-0121	Alfie M Paul
RE-NY	410	New York	        Archival Operations - New York City	212-401-1625	Chris M Gushman
RE-PA	 	Philadelphia	        Archival Operations - Philadelphia	215-606-0101	Leslie M. Simon
RL	340F	St. Louis	    Access Coordinator - St. Louis	314-801-9132	Bryan K McGraw
RL-OC	 	St. Louis	        Online Content Development	 	Vacant
RL-SL	 	St. Louis	        Archival Operations - St. Louis	314-801-0909	 
RM	3400	Archives II	    Access Coordinator - Midwest	301-837-0525	Vacant
RM-CH	 	Chicago	        Archival Operations - Chicago	773-948-9009	Douglas A Bicknese
RM-DV	 	Denver	        Archival Operations - Denver	303-604-4749	Eileen E Bolger
RM-FW	 	Ft. Worth	        Archival Operations - Fort Worth	817-551-2033	Meg H Hacker
RM-KC	213	Kansas City	        Archival Operations - Kansas City	816-268-8017	Lori A Cox-Paul
RW	 	Seattle	    Access Coordinator - West	301-837-3089	Michael T Moore
RW-RS	129	Riverside	        Archival Operations - Riverside	951-956-2040	Gwen E Granados
RW-SB	014	San Francisco	        Archival Operations - San Francisco	650-238-3478	Stephanie M. Bayless
RW-SE	 	Seattle	        Archival Operations - Seattle	206-336-5141	Susan H Karren
RX	2800	Archives II	    Preservation Programs Division	301-837-1785	Terry D Boone (A)
RXC	1901	Archives II	        Conservation Branch	301-837-2906	Vacant
RXS	310A	St. Louis	        St. Louis Preservation Branch	314-801-0907	Marta G ONeill
L	104	Archives I	LEGISLATIVE ARCHIVES, PRESIDENTIAL LIBRARIES, AND MUSEUM SERVICES	202-357-5472	Susan K Donius (A)
LL	8E	Archives I	    Center for Legislative Archives	202-357-5376	Richard H Hunt
LE	G-9	Archives I	    Education and Public Programs Division	202-357-7483	Maria M Marable-Bunch
LM	104	Archives I	    Presidential Materials Division	202-357-5144	John J Laster
LP	2200	Archives II	    Office of Presidential Libraries	857-294-1074	Tom J Putnam (A)
LP-HH	 	Hoover	        Herbert Hoover Library and Museum	319-643-6029	Thomas F Schwartz
LP-FDR	 	Roosevelt	        Franklin D. Roosevelt Library and Museum	845-486-7741	Paul M Sparrow
LP-HST	 	Truman	        Harry S. Truman Library and Museum	816-268-8210	Kurt K. Graham
LP-DDE	 	Eisenhower	        Dwight D. Eisenhower Library and Museum	785-263-6739	Timothy D Rives
LP-JFK	 	Kennedy	        John F. Kennedy Library and Museum	617-514-1651	Tom J Putnam
LP-LBJ	 	Johnson	        Lyndon B. Johnson Library and Museum	512-721-0158	 
LP-RN	 	Nixon	        Richard M. Nixon Library and Museum	714-983-9121	Michael D Ellzey
LP-GRF	 	Ford Library	        Gerald R. Ford Library	734-205-0566	Elaine K Didier
LP-GRFM	 	Ford Museum	        Gerald R. Ford Museum	734-205-0566	Elaine K Didier
LP-JC	 	Carter	        Jimmy Carter Library and Museum	404-865-7113	Meredith R Evans
LP-RR	 	Reagan	        Ronald Reagan Library and Museum	805-577-4061	Duke Blackwood
LP-GB	 	Bush (41)	        George Bush Library and Museum	979-691-4001	Warren L Finch
LP-WJC	 	Clinton	        William J. Clinton Library and Museum	501-244-2884	Terri T Garner
LP-GWB	 	Bush (43)	        George W. Bush Library and Museum	214-346-1680	Emily B Robison
LP-BHO	 	Obama Library	        Barack H. Obama Library and Museum	 	Brooke L Clement
LX	G-9	Archives I	    Exhibits Division	202-357-5974	Lisa G Royse
I	4400	Archives II	INFORMATION SERVICES	301-837-1583	Swarnali Haldar
I-I	4417	Archives II	    Investment Planning & Management Staff	301-837-3126	Kathy A Wickliffe (A)
I-C	4400	Archives II	    Policy & Compliance Management Staff	301-837-3170	C. Stephen Heaps (A)
IA	4504	Archives II	    Architecture & Technology Management Division	301-837-0622	Dyung V Le (A)
IAS	4504	Archives II	        Systems Engineering Branch	301-837-0622	Dyung V Le
IAD	4400	Archives II	        Data Management Branch	301-837-2998	Mai Phoung Bui (A)
IP	1510	Archives II	    Portfolio Management Division	301-837-3167	Mary E Winstead (A)
IPG	1510	Archives II	        Program Management Branch	301-837-3167	Mary E Winstead (A)
IPJ	2350	Archives II	        IT Project Management Branch	301-837-1955	Thomas J McAndrew
ID	4414	Archives II	    Development & Tools Management Division	301-837-3625	Leslie L Johnston
IS	4400	Archives II	    IT Security Management Division	301-837-3048	Sandra E Paul-Blanc
ISM	4400	Archives II	        Monitoring & Authorization Branch	301-837-3048	Sandra E Paul-Blanc (A)
ISS	4400	Archives II	        IT Security Support Branch	301-837-3048	Sandra E Paul-Blanc (A)
IQ	4400	Archives II	    Quality Management Division	301-837-0610	Phuong T Ha
IQT	 	Archives II	        Test Branch	301-837-0610	Phuong T Ha
IO	4320	Archives II	    Operations Management Division	301-837-3578	Vacant
IOO	4324	Archives II	        Operations and Infrastructure Branch	301-837-3269	Mike M Collins
IOS	4503	Archives II	        Support Services Branch	301-837-1684	James L Atwater
B	5100	Archives II	BUSINESS SUPPORT SERVICES	301-837-1719	Donna J Forbes
B-AC	 	Archives II	    Administration, Policy, and Planning Staff	 	Vacant
B-AD	5107	Archives II	    Storage Coordination and Logistics Branch	301-837-1786	Vacant
BQ	 	Broomfield	    Field Management Support Division	303-604-4701	Leonard G Harmon
BQA	 	Ellenwood	        Field Support Office - Atlanta	404-736-2851	Frederick A Abrahamian
BQB	 	Boston	        Field Support Office - Boston	781-663-0140	David J Powers
BQC	 	Chicago	        Field Support Office - Chicago and Dayton	817-551-2002	Robert A Newton
BQD	 	Broomfield	        Field Support Office - Denver	303-604-4701	Vacant
BQF	 	Ft. Worth	        Field Support Office - Fort Worth	817-551-2002	Vacant
BQK	 	Kansas City	        Field Support Office - Kansas City	816-268-8024	Robert A Newton
BQP	 	Philadelphia	        Field Support Office - Philadelphia	215-305-2003	David Roland
BQS	 	San Bruno	        Field Support Office - San Bruno and Riverside	650-238-3463	David M Piff
BQU	 	Suitland	        Field Support Office - Suitland	215-305-2003	David Roland
BQE	 	Seattle	        Field Support Office - Seattle	650-238-3463	David M Piff
BF	2320	Archives II	    Facility and Property Management Division	301-837-3019	Mark D Sprouse
BFF	2320	Archives II	        Facilities and Property Branch	301-837-3712	Donald W Overfelt
BFS	1150	Archives II	        Space Planning and Projects Branch	301-837-3648	Ronald C Noll
BP	5365	Archives II	    Project Assistance Division	301-837-0550	Alexander C Turell
BX	2300	Archives II	    Security Management Division	301-837-0298	Kevin A McCoy
M	5200	Archives II	OFFICE OF THE CHIEF OF MANAGEMENT AND ADMINISTRATION	 	Micah M Cheatham
MP	 	 	    Strategy and Performance Division	 	Carla B Patterson (A)
Z	 	Archives II	OFFICE OF THE CHIEF ACQUISITION OFFICER	 	LaVerne A. Fields (A)
X	5200	Archives II	OFFICE OF THE CHIEF FINANCIAL OFFICER	301-837-1723	Colleen V Murphy (A)
XA	5200	Archives II	    Accounting Policy and Operations Branch	301-837-1723	Colleen V Murphy
XB	5200	Archives II	    Office of Budget	 	Cherimonda P Arrington
XF	5200	Archives II	    Financial Reporting and Analysis Staff	 	Vacant
XT	5200	Archives II	    National Archives Trust Fund Branch	 	Lawrence S. Post
